A B C D
0.30453758658483343 0.06297663362137564 0.19079248128091966 0.4416932985128713
0.18419068640293057 0.5276936276864452 0.08076422538749886 0.20735146052312534
0.20711944192215492 0.09126921672993342 0.11845722102083601 0.5831541203270756
0.22518051757554497 0.08016200088155481 0.16481575492433573 0.5298417266185644
0.2773614925105713 0.07657390460152487 0.19690908078960095 0.449155522098303
0.22071683733035474 0.47180717416435597 0.10549502554648382 0.2019809629588053
0.28189346798730347 0.07900185546736037 0.1631485791923182 0.4759560973530178
0.20763832486265021 0.4322690091250882 0.1491891189394018 0.21090354707285966
0.09971061766185227 0.33459937838960385 0.37675523298594094 0.1889347709626029
0.1045977169982428 0.33555215439681435 0.4022574757351109 0.1575926528698319
